User ID	Retweets	Favorites	Has_url	Polarity	Popularity	numMentions	Labels	follower_ids
6160792	1329.0	1607.0	3.0	0.7441	2936.0	1.0	0	[722983125320527873, 4722163532, 722970901516427264, 3256157071, 2616718825, 538217505, 722982173972697088, 73172166, 722979655666556932, 700912346, 722975850300215296, 2978647723, 2244544711, 19868367, 721041288443797505, 721313015631581184, 771543240, 2457861594, 348538300, 1953400308, 3251088560, 2388529020, 305935592, 150457147, 21389664, 720337050344402944, 722970976745447424, 492177195, 708835234163335168, 805811522, 237125273, 869157984, 2413122001, 722966959407665152, 391101644, 4644462557, 2915222484, 4871108998, 1430505906, 2892770932, 722966620558135297, 16258973, 2263683684, 4833369737, 2878779099, 2186319271, 705552853696421888, 354404408, 717936689230942208, 2747463598, 397621444, 1319405268, 720645536198438912, 722954925332897792, 614664540, 445627334, 2817835077, 1661637914, 704140539210424321, 717839386545680385, 2319190651, 3148907571, 844598886, 722904192025624577, 4195543575, 3501595882, 51942900, 99473703, 3488905634, 3125072141, 1112308614, 499950894, 722947115970736128, 722938823903031297, 363604436, 722937660013084673, 563391465, 509989558, 1375452409, 4328422454, 1194250004, 997178810, 27587056, 4162303046, 1273341324, 2836832902, 443327000, 933900474, 2934784990, 217592863, 3297508607, 4468725975, 1045970761, 2750127005, 509740660, 2663821188, 1541832895, 2812269630, 2584015260, 722918222765375488, ...]
2845238149	2501.0	0.0	22.0	11.578	2501.0	78.0	0	[722060351228010496, 490587661, 4228515238, 374227012, 2819519893, 70187215, 2868538719, 533591950, 2999003955, 21883237, 2383330243, 49878705, 2954999301, 2937680624, 3224930982, 2372880199, 2190682908, 3187798135, 3185425277, 2788757714, 2974750750, 599150480, 2385422552, 3139154534, 1485132488, 617496592, 2873180687, 3140638171, 332922673, 314991409, 2411867900, 353242431, 3071932032, 2307195656, 3066840260, 2803866745, 2918445657, 2354638212, 2833979859, 350049388, 93964319, 2844220461, 3009642183, 2468383238, 2798765632, 2855449623, 264544779, 2244398629, 524788308, 620398345, 2808801171, 782472337, 420839856, 1246375584, 1613601134, 2531176532, 2897016000, 1529489418, 159034813, 16613101, 172947906, 2457517003, 2772384200, 1665499566, 2842878112, 1571231719, 2362960556, 1870276111, 2980748694, 2147771678, 108700210, 296352111, 2924911368, 1836866514, 2885821756, 2208483629, 2889479943, 17886742, 2846136124, 731667162, 2424289652, 612246197, 148980498, 2411290603, 2821346056, 1671029934, 2840808203, 80384725, 251045973, 2952735467, 1480486860, 201553765, 2795766408, 21514744, 601425440, 2805505128, 827225083, 581649302, 2901670105, 2851960091, ...]
2791121294	2097.0	14.0	32.0	32.9141	2111.0	243.0	0	[718246085190414337, 43287329, 722874740826701824, 722646586510151680, 4886191420, 722588262326374401, 111225697, 1531974344, 347627434, 819668389, 29023872, 404470529, 702780246026752000, 3891703408, 4386946815, 712772376870522880, 558369903, 364170889, 1455286956, 706990537799131136, 10255692, 369172994, 61149653, 14613185, 3104545022, 714938103824310273, 714932191168479234, 4911172133, 3581776997, 713880240678772736, 709897775362605056, 713408458473639936, 3656092409, 705442898188210177, 53010355, 2393063119, 4879819876, 711717378350911489, 4867141599, 721917069986557952, 143123814, 1950799526, 714920195400269826, 237888723, 705645123606966272, 2761898817, 4667313217, 1345580348, 715783841382838273, 1727699204, 56449803, 3324614036, 208083510, 707675068705284096, 712391107439665152, 3271255423, 968299640, 3590632753, 2426179058, 3367987133, 721996071979892736, 19173608, 3661168817, 4379399718, 4005012459, 4893125805, 721364629927145473, 700430991723204608, 4729317440, 3224850985, 326665662, 14645160, 1563916915, 719211087716073473, 720341260993560576, 1620539378, 98282153, 2233353242, 4852459831, 3745023675, 717160724787646465, 3316868654, 4414699213, 715436933350969344, 718949896863289346, 709466255393042432, 705610669110890496, 710640952096923648, 2749858280, 3279902600, 3886015993, 4485045432, 708973615291764736, 718321945683574784, 17536486, 713200583113449472, 50462805, 712111278265868290, 717950516496445440, 705942668866658304, ...]
2421921523.0	7029.0	8.0	44.0	37.2029	7037.0	214.0	167	[722720972852211713, 1345580348, 3997939395, 702337479249141760, 3543696137, 246160575, 721256388446576641, 3903217291, 23617671, 720960063213580288, 3346986731, 275276082, 4329476897, 2369732305, 718577714983075840, 705674678480695297, 4886191420, 4386946815, 2272138994, 522682691, 2855694848, 3219848004, 837954758, 2872027562, 1173450415, 719120214684790785, 586134962, 64721998, 3310218359, 4102001608, 60014473, 114860533, 201109966, 1659724682, 3808803497, 2888132107, 16703058, 2567904974, 712467443160059904, 16428093, 3745990517, 1113007782, 4274295213, 2799751139, 695370267850199042, 1439547560, 795561996, 3398973094, 569005559, 2657503942, 3824286316, 4097888173, 2961906996, 3939396622, 702655782475702274, 4915563525, 702171022678560768, 3223130809, 3111278345, 4872286983, 4873532445, 4853587748, 340970752, 694879710539595776, 4874070454, 4853661674, 4853532074, 4874016880, 4873651594, 4853432832, 4853753875, 4873539129, 4877092881, 4880735108, 934544498, 3297324506, 1443411380, 4449537796, 4730373476, 4828937494, 312074367, 2571507732, 3216913377, 4831259062, 3391008628, 4015682026, 4713212953, 266152718, 4749608450, 3320822623, 2386059667, 4731339614, 2693988803, 225996561, 4582202473, 3352612113, 18225578, 463423541, 4711328323, 2358246756, ...]
1038152798	6525.0	1.0	37.0	45.2804	6526.0	198.0	172	[19574238, 3075846103, 2954999301, 2372880199, 704260007, 2714618694, 15477254, 2897016000, 2886817729, 2906690044, 34165918, 2539029462, 2914434283, 2788274419, 2485670676, 1251453475, 460697784, 2831606139, 2873135374, 2844707753, 70082375, 470880589, 1006435687, 2870105645, 2835141579, 144075137, 2276637241, 2889082980, 1348112202, 284044012, 169067158, 44494953, 2775504008, 1927441783, 2775396834, 236999820, 113983688, 21536352, 2898262704, 2819247256, 2839314753, 25927878, 251679884, 60054555, 2541758438, 2783985870, 14727238, 2875003187, 1852732298, 109380627, 23579683, 2813904001, 147030458, 2344267592, 2871728956, 2817820231, 950142270, 197421420, 2847552447, 1356030014, 2411867900, 780426085, 2815306126, 2774031603, 1542649094, 22164508, 2437486722, 22166232, 1516850792, 2793797630, 2765738045, 2838049186, 2850707357, 190249654, 2784863960, 1683985212, 1858786956, 992477000, 2772264097, 1335585896, 2834903284, 2374226594, 469189091, 92769076, 2311435027, 2797610641, 176874550, 1105998918, 2283567114, 2787254808, 2375850864, 2861919674, 312725895, 15595780, 2585165988, 14304302, 2800681614, 253007595, 23979944, 2777083032, ...]
2421921523	6307.0	8.0	60.0	46.6328	6315.0	274.0	207	[722720972852211713, 1345580348, 3997939395, 702337479249141760, 3543696137, 246160575, 721256388446576641, 3903217291, 23617671, 720960063213580288, 3346986731, 275276082, 4329476897, 2369732305, 718577714983075840, 705674678480695297, 4886191420, 4386946815, 2272138994, 522682691, 2855694848, 3219848004, 837954758, 2872027562, 1173450415, 719120214684790785, 586134962, 64721998, 3310218359, 4102001608, 60014473, 114860533, 201109966, 1659724682, 3808803497, 2888132107, 16703058, 2567904974, 712467443160059904, 16428093, 3745990517, 1113007782, 4274295213, 2799751139, 695370267850199042, 1439547560, 795561996, 3398973094, 569005559, 2657503942, 3824286316, 4097888173, 2961906996, 3939396622, 702655782475702274, 4915563525, 702171022678560768, 3223130809, 3111278345, 4872286983, 4873532445, 4853587748, 340970752, 694879710539595776, 4874070454, 4853661674, 4853532074, 4874016880, 4873651594, 4853432832, 4853753875, 4873539129, 4877092881, 4880735108, 934544498, 3297324506, 1443411380, 4449537796, 4730373476, 4828937494, 312074367, 2571507732, 3216913377, 4831259062, 3391008628, 4015682026, 4713212953, 266152718, 4749608450, 3320822623, 2386059667, 4731339614, 2693988803, 225996561, 4582202473, 3352612113, 18225578, 463423541, 4711328323, 2358246756, ...]
1038152798	2456.0	0.0	11.0	15.2152	2456.0	73.0	98	[19574238, 3075846103, 2954999301, 2372880199, 704260007, 2714618694, 15477254, 2897016000, 2886817729, 2906690044, 34165918, 2539029462, 2914434283, 2788274419, 2485670676, 1251453475, 460697784, 2831606139, 2873135374, 2844707753, 70082375, 470880589, 1006435687, 2870105645, 2835141579, 144075137, 2276637241, 2889082980, 1348112202, 284044012, 169067158, 44494953, 2775504008, 1927441783, 2775396834, 236999820, 113983688, 21536352, 2898262704, 2819247256, 2839314753, 25927878, 251679884, 60054555, 2541758438, 2783985870, 14727238, 2875003187, 1852732298, 109380627, 23579683, 2813904001, 147030458, 2344267592, 2871728956, 2817820231, 950142270, 197421420, 2847552447, 1356030014, 2411867900, 780426085, 2815306126, 2774031603, 1542649094, 22164508, 2437486722, 22166232, 1516850792, 2793797630, 2765738045, 2838049186, 2850707357, 190249654, 2784863960, 1683985212, 1858786956, 992477000, 2772264097, 1335585896, 2834903284, 2374226594, 469189091, 92769076, 2311435027, 2797610641, 176874550, 1105998918, 2283567114, 2787254808, 2375850864, 2861919674, 312725895, 15595780, 2585165988, 14304302, 2800681614, 253007595, 23979944, 2777083032, ...]
332425505.0	2396.0	0.0	1.0	1.2334	2396.0	6.0	10	[716362479698317313, 1345580348, 14945367, 2407759274, 1518849144, 17772686, 83210158, 49822643, 4864368203, 4865897369, 4687795201, 4504527400, 1443788167, 3064568885, 836941, 21512379, 2810371418, 457965637, 1649656110, 3058765355, 16257260, 764571518, 3296291727, 3248387125, 3254378722, 3107442644, 14187770, 261086350, 3072088512, 20263424, 14534256, 56893, 1604885694, 2986657415, 489217593, 17372924, 21288050, 2917403341, 2913355094, 17117817, 2830523455, 35700824, 50165373, 32986076, 27697140, 2698480764, 111385553, 526330122, 2231485591, 138005905, 386234469, 25896124, 15934321, 28441180, 2500730838, 29844768, 9638102, 46209461, 27831847, 23282792, 15607746, 537439220, 2635518529, 974333012, 894291260, 2539093938, 2523292286, 2508832076, 17036020, 2469203731, 2448445291, 54792009, 150469077, 100697802, 516756446, 14065677, 799252303, 47509797, 59802945, 85048313, 82230040, 31201768, 1487494208, 1165840591, 1932637868, 14500711, 24855264, 7536412, 1375288597, 42492232, 33487487, 1152659239, 367244981, 107716404, 5751402, 15982882, 223753765, 53690062, 20536785, 16368032, ...]
175378976	1489.0	659.0	0.0	0.9638	2148.0	6.0	14	[722824443819524096, 2918166682, 721246011369369600, 23972147, 323626600, 3189000228, 540615369, 101417092, 3119755955, 300173607, 143643128, 82405779, 18178957, 2949440396, 1458195248, 18299854, 17850769, 2380683349, 12144942, 4811953092, 901056266, 714530037291159553, 308196210, 216773006, 3330377908, 719334868434300929, 220486009, 2511318390, 24773009, 326469370, 722705731, 2804719111, 721559821476966400, 359779104, 40735362, 2722247756, 4007684352, 254688485, 262168753, 2964962709, 3229800539, 713541223537987585, 29550755, 447355272, 38365934, 281603236, 4828470937, 385677093, 2362329520, 2222348845, 47009747, 710200191874424832, 841346719, 35329249, 246889764, 2198131868, 28727038, 25860277, 2910971, 720326801654816768, 389764212, 4892089761, 34480648, 1634661600, 7258242, 17103002, 438858294, 120154463, 2682746034, 161011548, 390324586, 26903123, 2343425652, 234250483, 2404008998, 4824365482, 65662809, 224047611, 404615748, 707762438460997632, 718192538952273920, 282323293, 168813064, 17763193, 1949657419, 549736108, 193107683, 720679484261801984, 959075270, 890322810, 47844185, 88813626, 43413543, 368712410, 337527976, 315585953, 6572102, 4738598236, 49071330, 31057521, ...]
2421921523	3945.0	0.0	18.0	7.0888	3945.0	80.0	159	[722720972852211713, 1345580348, 3997939395, 702337479249141760, 3543696137, 246160575, 721256388446576641, 3903217291, 23617671, 720960063213580288, 3346986731, 275276082, 4329476897, 2369732305, 718577714983075840, 705674678480695297, 4886191420, 4386946815, 2272138994, 522682691, 2855694848, 3219848004, 837954758, 2872027562, 1173450415, 719120214684790785, 586134962, 64721998, 3310218359, 4102001608, 60014473, 114860533, 201109966, 1659724682, 3808803497, 2888132107, 16703058, 2567904974, 712467443160059904, 16428093, 3745990517, 1113007782, 4274295213, 2799751139, 695370267850199042, 1439547560, 795561996, 3398973094, 569005559, 2657503942, 3824286316, 4097888173, 2961906996, 3939396622, 702655782475702274, 4915563525, 702171022678560768, 3223130809, 3111278345, 4872286983, 4873532445, 4853587748, 340970752, 694879710539595776, 4874070454, 4853661674, 4853532074, 4874016880, 4873651594, 4853432832, 4853753875, 4873539129, 4877092881, 4880735108, 934544498, 3297324506, 1443411380, 4449537796, 4730373476, 4828937494, 312074367, 2571507732, 3216913377, 4831259062, 3391008628, 4015682026, 4713212953, 266152718, 4749608450, 3320822623, 2386059667, 4731339614, 2693988803, 225996561, 4582202473, 3352612113, 18225578, 463423541, 4711328323, 2358246756, ...]
2791121294.0	3278.0	3.0	12.0	13.1433	3281.0	99.0	198	[718246085190414337, 43287329, 722874740826701824, 722646586510151680, 4886191420, 722588262326374401, 111225697, 1531974344, 347627434, 819668389, 29023872, 404470529, 702780246026752000, 3891703408, 4386946815, 712772376870522880, 558369903, 364170889, 1455286956, 706990537799131136, 10255692, 369172994, 61149653, 14613185, 3104545022, 714938103824310273, 714932191168479234, 4911172133, 3581776997, 713880240678772736, 709897775362605056, 713408458473639936, 3656092409, 705442898188210177, 53010355, 2393063119, 4879819876, 711717378350911489, 4867141599, 721917069986557952, 143123814, 1950799526, 714920195400269826, 237888723, 705645123606966272, 2761898817, 4667313217, 1345580348, 715783841382838273, 1727699204, 56449803, 3324614036, 208083510, 707675068705284096, 712391107439665152, 3271255423, 968299640, 3590632753, 2426179058, 3367987133, 721996071979892736, 19173608, 3661168817, 4379399718, 4005012459, 4893125805, 721364629927145473, 700430991723204608, 4729317440, 3224850985, 326665662, 14645160, 1563916915, 719211087716073473, 720341260993560576, 1620539378, 98282153, 2233353242, 4852459831, 3745023675, 717160724787646465, 3316868654, 4414699213, 715436933350969344, 718949896863289346, 709466255393042432, 705610669110890496, 710640952096923648, 2749858280, 3279902600, 3886015993, 4485045432, 708973615291764736, 718321945683574784, 17536486, 713200583113449472, 50462805, 712111278265868290, 717950516496445440, 705942668866658304, ...]
2806977060	3206.0	3.0	17.0	9.5439	3209.0	54.0	117	[700443244786798592, 1398184584, 186584387, 143330700, 4386946815, 114860533, 469329763, 1113512192, 1345580348, 3694282641, 2802658657, 544180864, 340970752, 4888781418, 266152718, 4870042565, 4470792081, 2944115695, 378312047, 320948281, 4122226696, 1454488878, 2863088809, 904587308, 4725774200, 78486402, 3063615107, 3775803448, 4668806968, 3557841074, 2855642709, 4449537796, 4467099861, 4555048735, 393756935, 316405098, 4342854076, 3351910919, 388091944, 383465756, 1216953829, 3147478584, 284565044, 21383367, 333688436, 2692233198, 2834741012, 2786395269, 2842435444, 83435830, 2794782427, 171490952, 4236004055, 2822871973, 14976478, 49933282, 22805900, 374227012, 1950799526, 4120145470, 4075484366, 75425858, 2448318350, 3963855317, 275653130, 19351599, 1077607729, 2374600766, 3094232415, 535222091, 1531368576, 317732425, 104790170, 16114518, 2820453761, 266983729, 990639804, 3245225323, 3368222885, 349586095, 25060654, 3027562528, 2908997484, 2952909383, 2804088314, 33996870, 3315651085, 3244875996, 3764779277, 792807205, 2935362498, 2871006265, 60040299, 2761898817, 1646360521, 209669688, 59976617, 276662732, 2916604288, 448638986, ...]
293758378	2622.0	0.0	3.0	1.737	2622.0	9.0	32	[3284112337, 3950586455, 4705956776, 2956507309, 719907552901918720, 712594870142013440, 1870223119, 3307811597, 4513069883, 4839304191, 439267469, 2203755894, 2550074857, 2786244413, 3989295372, 14645160, 347035301, 20944649, 2289037012, 4157946957, 2370624044, 318101964, 2379003705, 15566199, 23307970, 2423872206, 2499485432, 3258429445, 2914937290, 834554893, 1716419402, 488361373, 3216862919, 392241108, 1626389202, 2874090459, 2773936799, 131273661, 2765738045, 2772264097, 2850707357, 108155579, 2690980352, 15595780, 2598183050, 2782756512, 2814199862, 2801269189, 2755679168, 161469460, 180548361, 204447420, 1227418316, 180922583, 2212150973, 716711347, 580439680, 75254621, 130263765, 1260493332, 314908028, 164011139, 64083835, 117699379, 1645652473, 1365551472, 206950967, 1356680677, 55420433, 53911859, 41805665, 1424563088, 29110681, 229237886, 40417914, 406499974, 355447677]
524901955.0	2576.0	15.0	4.0	3.1823	2591.0	17.0	64	[4555185854, 16906660, 3236447924, 709461702564311040, 42834939, 4236806414, 4109929529, 328673472, 122194792, 3343448255, 708973615291764736, 4874707769, 2446676017, 721832435214778368, 385997636, 3263121643, 275005190, 948620149, 4055814263, 212229592, 2489364475, 61052836, 1625288022, 23919418, 3219816631, 718550672732499968, 4230369863, 482597350, 719758326846865408, 2592330638, 75883640, 3040307398, 577383147, 3092205760, 1950799526, 21381909, 3390665254, 700486164495503360, 27049695, 110835004, 2940323720, 4429531393, 933608478, 723160843, 439170402, 261326494, 35231502, 544001732, 4194112167, 374138602, 1152860286, 3638986761, 4919560499, 1345580348, 1958081648, 904587308, 849029940, 27667643, 711654207091249152, 2832342387, 700896273642160128, 715342133691965442, 4386946815, 499230066, 35084169, 4821135339, 242017731, 3110360439, 3990005055, 708617760075599872, 41873202, 4881801554, 708833448761249792, 3782955012, 445608258, 2208392340, 2957879799, 2579703422, 3069068019, 707849530428026880, 362400064, 2573792732, 710613421054664704, 260042196, 157886521, 708240700689616896, 260904559, 3100086245, 4264655555, 1514301096, 1852488133, 3033374716, 1453424635, 3308456234, 1935089888, 2954403115, 1572156842, 24603971, 975245400, 288063956, ...]
2421921523	2391.0	0.0	13.0	11.8189	2391.0	62.0	168	[722720972852211713, 1345580348, 3997939395, 702337479249141760, 3543696137, 246160575, 721256388446576641, 3903217291, 23617671, 720960063213580288, 3346986731, 275276082, 4329476897, 2369732305, 718577714983075840, 705674678480695297, 4886191420, 4386946815, 2272138994, 522682691, 2855694848, 3219848004, 837954758, 2872027562, 1173450415, 719120214684790785, 586134962, 64721998, 3310218359, 4102001608, 60014473, 114860533, 201109966, 1659724682, 3808803497, 2888132107, 16703058, 2567904974, 712467443160059904, 16428093, 3745990517, 1113007782, 4274295213, 2799751139, 695370267850199042, 1439547560, 795561996, 3398973094, 569005559, 2657503942, 3824286316, 4097888173, 2961906996, 3939396622, 702655782475702274, 4915563525, 702171022678560768, 3223130809, 3111278345, 4872286983, 4873532445, 4853587748, 340970752, 694879710539595776, 4874070454, 4853661674, 4853532074, 4874016880, 4873651594, 4853432832, 4853753875, 4873539129, 4877092881, 4880735108, 934544498, 3297324506, 1443411380, 4449537796, 4730373476, 4828937494, 312074367, 2571507732, 3216913377, 4831259062, 3391008628, 4015682026, 4713212953, 266152718, 4749608450, 3320822623, 2386059667, 4731339614, 2693988803, 225996561, 4582202473, 3352612113, 18225578, 463423541, 4711328323, 2358246756, ...]
332425505.0	4260.0	0.0	1.0	3.5116	4260.0	13.0	65	[716362479698317313, 1345580348, 14945367, 2407759274, 1518849144, 17772686, 83210158, 49822643, 4864368203, 4865897369, 4687795201, 4504527400, 1443788167, 3064568885, 836941, 21512379, 2810371418, 457965637, 1649656110, 3058765355, 16257260, 764571518, 3296291727, 3248387125, 3254378722, 3107442644, 14187770, 261086350, 3072088512, 20263424, 14534256, 56893, 1604885694, 2986657415, 489217593, 17372924, 21288050, 2917403341, 2913355094, 17117817, 2830523455, 35700824, 50165373, 32986076, 27697140, 2698480764, 111385553, 526330122, 2231485591, 138005905, 386234469, 25896124, 15934321, 28441180, 2500730838, 29844768, 9638102, 46209461, 27831847, 23282792, 15607746, 537439220, 2635518529, 974333012, 894291260, 2539093938, 2523292286, 2508832076, 17036020, 2469203731, 2448445291, 54792009, 150469077, 100697802, 516756446, 14065677, 799252303, 47509797, 59802945, 85048313, 82230040, 31201768, 1487494208, 1165840591, 1932637868, 14500711, 24855264, 7536412, 1375288597, 42492232, 33487487, 1152659239, 367244981, 107716404, 5751402, 15982882, 223753765, 53690062, 20536785, 16368032, ...]
